"","WBID","WATERBODY_NAME","NewUse","Use","CharacteristicName","ResultSampleFractionText","Assessed","binomial","No","Yes","sampcount","existimpair","paramcarryforward","newassess","actualsampneed","provassess","provdate","provcomment","provdatetext"
"6142","15010003-001","KANAB CREEK ","AGL","AGL","LEAD","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6143","15010003-001","KANAB CREEK ","DWS","DWS","LEAD","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6144","15010003-001","KANAB CREEK ","FBC","FBC","LEAD","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6145","15010003-001","KANAB CREEK ","DWS","DWS","MANGANESE","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6146","15010003-001","KANAB CREEK ","FBC","FBC","MANGANESE","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6147","15010003-001","KANAB CREEK ","DWS","DWS","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6148","15010003-001","KANAB CREEK ","FBC","FBC","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6149","15010003-001","KANAB CREEK ","FC","FC","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6150","15010003-001","KANAB CREEK ","AGL","AGL","SELENIUM","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6151","15010003-001","KANAB CREEK ","DWS","DWS","SELENIUM","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6152","15010003-001","KANAB CREEK ","FBC","FBC","SELENIUM","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6153","15010003-001","KANAB CREEK ","FC","FC","SELENIUM","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6154","15010003-001","KANAB CREEK ","DWS","DWS","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6155","15010003-001","KANAB CREEK ","FBC","FBC","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6156","15010003-001","KANAB CREEK ","FC","FC","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6157","15010003-001","KANAB CREEK ","DWS","DWS","THALLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6158","15010003-001","KANAB CREEK ","FBC","FBC","THALLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6159","15010003-001","KANAB CREEK ","FC","FC","THALLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6160","15010003-001","KANAB CREEK ","DWS","DWS","URANIUM","Dissolved","Not enough information","Yes",5,2,7,"No","Current",1,3,1,NA,NA,NA
"6161","15010003-001","KANAB CREEK ","FBC","FBC","URANIUM","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6162","15010003-001","KANAB CREEK ","AGL","AGL","ZINC","Total","Meeting criteria","Yes",6,0,6,"No","Current",2,0,2,NA,NA,NA
"6163","15010003-001","KANAB CREEK ","DWS","DWS","ZINC","Total","Meeting criteria","Yes",6,0,6,"No","Current",2,0,2,NA,NA,NA
"6164","15010003-001","KANAB CREEK ","FBC","FBC","ZINC","Total","Meeting criteria","Yes",6,0,6,"No","Current",2,0,2,NA,NA,NA
"6165","15010003-001","KANAB CREEK ","FC","FC","ZINC","Total","Meeting criteria","Yes",6,0,6,"No","Current",2,0,2,NA,NA,NA
"6166","15010004-001B","HAVASU CREEK ","FBC","FBC","ANTIMONY","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6167","15010004-001B","HAVASU CREEK ","FC","FC","ANTIMONY","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6168","15010004-001B","HAVASU CREEK ","FBC","FBC","ARSENIC","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6169","15010004-001B","HAVASU CREEK ","FC","FC","ARSENIC","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6170","15010004-001B","HAVASU CREEK ","FBC","FBC","BARIUM","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6171","15010004-001B","HAVASU CREEK ","FBC","FBC","BERYLLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6172","15010004-001B","HAVASU CREEK ","FC","FC","BERYLLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6173","15010004-001B","HAVASU CREEK ","FBC","FBC","BORON","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6174","15010004-001B","HAVASU CREEK ","FBC","FBC","CADMIUM","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6175","15010004-001B","HAVASU CREEK ","FC","FC","CADMIUM","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6176","15010004-001B","HAVASU CREEK ","FBC","FBC","COPPER","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6177","15010004-001B","HAVASU CREEK ","AWWChronic","AWW","DISSOLVED OXYGEN (DO)","Dissolved","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6178","15010004-001B","HAVASU CREEK ","FBC","FBC","FLUORIDE","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6179","15010004-001B","HAVASU CREEK ","FBC","FBC","LEAD","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6180","15010004-001B","HAVASU CREEK ","FBC","FBC","MANGANESE","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6181","15010004-001B","HAVASU CREEK ","FBC","FBC","NICKEL","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6182","15010004-001B","HAVASU CREEK ","FC","FC","NICKEL","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6183","15010004-001B","HAVASU CREEK ","FBC","FBC","SILVER","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6184","15010004-001B","HAVASU CREEK ","FC","FC","SILVER","Total","Meeting criteria","Yes",7,0,7,"No","Current",2,0,2,NA,NA,NA
"6185","15010004-001B","HAVASU CREEK ","FBC","FBC","THALLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6186","15010004-001B","HAVASU CREEK ","FC","FC","THALLIUM","Total","Not enough information","Yes",2,0,2,"No","Current",1,1,1,NA,NA,NA
"6187","15010004-001B","HAVASU CREEK ","FBC","FBC","URANIUM","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6188","15010004-001B","HAVASU CREEK ","FBC","FBC","ZINC","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6189","15010004-001B","HAVASU CREEK ","FC","FC","ZINC","Total","Meeting criteria","Yes",11,0,11,"No","Current",2,9,2,NA,NA,NA
"6190","15010004-0280","CATARACT LAKE ","AWCChronic","AWC","DISSOLVED OXYGEN (DO)","Dissolved","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6191","15010004-0480","DOGTOWN RESERVOIR ","AWCChronic","AWC","DISSOLVED OXYGEN (DO)","Dissolved","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6192","15010004-0710","KAIBAB LAKE ","AGI","AGI","ANTIMONY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6193","15010004-0710","KAIBAB LAKE ","AGL","AGL","ANTIMONY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6194","15010004-0710","KAIBAB LAKE ","DWS","DWS","ANTIMONY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6195","15010004-0710","KAIBAB LAKE ","FBC","FBC","ANTIMONY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6196","15010004-0710","KAIBAB LAKE ","FC","FC","ANTIMONY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6197","15010004-0710","KAIBAB LAKE ","AGI","AGI","ARSENIC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6198","15010004-0710","KAIBAB LAKE ","AGL","AGL","ARSENIC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6199","15010004-0710","KAIBAB LAKE ","DWS","DWS","ARSENIC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6200","15010004-0710","KAIBAB LAKE ","FBC","FBC","ARSENIC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6201","15010004-0710","KAIBAB LAKE ","FC","FC","ARSENIC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6202","15010004-0710","KAIBAB LAKE ","DWS","DWS","BARIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6203","15010004-0710","KAIBAB LAKE ","FBC","FBC","BARIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6204","15010004-0710","KAIBAB LAKE ","DWS","DWS","BERYLLIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6205","15010004-0710","KAIBAB LAKE ","FBC","FBC","BERYLLIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6206","15010004-0710","KAIBAB LAKE ","FC","FC","BERYLLIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6207","15010004-0710","KAIBAB LAKE ","AGI","AGI","BORON","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6208","15010004-0710","KAIBAB LAKE ","DWS","DWS","BORON","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6209","15010004-0710","KAIBAB LAKE ","FBC","FBC","BORON","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6210","15010004-0710","KAIBAB LAKE ","AGI","AGI","CADMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6211","15010004-0710","KAIBAB LAKE ","AGL","AGL","CADMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6212","15010004-0710","KAIBAB LAKE ","DWS","DWS","CADMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6213","15010004-0710","KAIBAB LAKE ","FBC","FBC","CADMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6214","15010004-0710","KAIBAB LAKE ","FC","FC","CADMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6215","15010004-0710","KAIBAB LAKE ","AGI","AGI","CHROMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6216","15010004-0710","KAIBAB LAKE ","AGL","AGL","CHROMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6217","15010004-0710","KAIBAB LAKE ","DWS","DWS","CHROMIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6218","15010004-0710","KAIBAB LAKE ","AGI","AGI","COPPER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6219","15010004-0710","KAIBAB LAKE ","AGL","AGL","COPPER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6220","15010004-0710","KAIBAB LAKE ","DWS","DWS","COPPER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6221","15010004-0710","KAIBAB LAKE ","FBC","FBC","COPPER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6222","15010004-0710","KAIBAB LAKE ","AWCChronic","AWC","DISSOLVED OXYGEN (DO)","Dissolved","Not enough information","Yes",3,2,5,"No","Current",1,5,1,NA,NA,NA
"6223","15010004-0710","KAIBAB LAKE ","DWS","DWS","FLUORIDE","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6224","15010004-0710","KAIBAB LAKE ","FBC","FBC","FLUORIDE","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6225","15010004-0710","KAIBAB LAKE ","DWS","DWS","INORGANIC NITROGEN (NITRATE AND NITRITE)","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6226","15010004-0710","KAIBAB LAKE ","AGI","AGI","LEAD","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6227","15010004-0710","KAIBAB LAKE ","AGL","AGL","LEAD","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6228","15010004-0710","KAIBAB LAKE ","DWS","DWS","LEAD","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6229","15010004-0710","KAIBAB LAKE ","FBC","FBC","LEAD","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6230","15010004-0710","KAIBAB LAKE ","AGI","AGI","MANGANESE","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6231","15010004-0710","KAIBAB LAKE ","DWS","DWS","MANGANESE","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6232","15010004-0710","KAIBAB LAKE ","FBC","FBC","MANGANESE","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6233","15010004-0710","KAIBAB LAKE ","AGL","AGL","MERCURY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6234","15010004-0710","KAIBAB LAKE ","DWS","DWS","MERCURY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6235","15010004-0710","KAIBAB LAKE ","FBC","FBC","MERCURY","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6236","15010004-0710","KAIBAB LAKE ","DWS","DWS","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6237","15010004-0710","KAIBAB LAKE ","FBC","FBC","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6238","15010004-0710","KAIBAB LAKE ","FC","FC","NICKEL","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6239","15010004-0710","KAIBAB LAKE ","AGI","AGI","PH","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6240","15010004-0710","KAIBAB LAKE ","AGL","AGL","PH","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6241","15010004-0710","KAIBAB LAKE ","AWCChronic","AWC","PH","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6242","15010004-0710","KAIBAB LAKE ","DWS","DWS","PH","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6243","15010004-0710","KAIBAB LAKE ","FBC","FBC","PH","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6244","15010004-0710","KAIBAB LAKE ","AGI","AGI","SELENIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6245","15010004-0710","KAIBAB LAKE ","AGL","AGL","SELENIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6246","15010004-0710","KAIBAB LAKE ","DWS","DWS","SELENIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6247","15010004-0710","KAIBAB LAKE ","FBC","FBC","SELENIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6248","15010004-0710","KAIBAB LAKE ","FC","FC","SELENIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6249","15010004-0710","KAIBAB LAKE ","DWS","DWS","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6250","15010004-0710","KAIBAB LAKE ","FBC","FBC","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6251","15010004-0710","KAIBAB LAKE ","FC","FC","SILVER","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6252","15010004-0710","KAIBAB LAKE ","DWS","DWS","THALLIUM","Total","Meeting criteria","Yes",4,0,4,"No","Current",2,0,2,NA,NA,NA
"6253","15010004-0710","KAIBAB LAKE ","FBC","FBC","THALLIUM","Total","Meeting criteria","Yes",4,0,4,"No","Current",2,0,2,NA,NA,NA
"6254","15010004-0710","KAIBAB LAKE ","FC","FC","THALLIUM","Total","Meeting criteria","Yes",4,0,4,"No","Current",2,0,2,NA,NA,NA
"6255","15010004-0710","KAIBAB LAKE ","FBC","FBC","URANIUM","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6256","15010004-0710","KAIBAB LAKE ","AGI","AGI","ZINC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6257","15010004-0710","KAIBAB LAKE ","AGL","AGL","ZINC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6258","15010004-0710","KAIBAB LAKE ","DWS","DWS","ZINC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6259","15010004-0710","KAIBAB LAKE ","FBC","FBC","ZINC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6260","15010004-0710","KAIBAB LAKE ","FC","FC","ZINC","Total","Meeting criteria","Yes",5,0,5,"No","Current",2,0,2,NA,NA,NA
"6261","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","ANTIMONY","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6262","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","ANTIMONY","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6263","15010004-1340","SANTA FE RESERVOIR ","FC","FC","ANTIMONY","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6264","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","ARSENIC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6265","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","ARSENIC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6266","15010004-1340","SANTA FE RESERVOIR ","FC","FC","ARSENIC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6267","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","BARIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6268","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","BARIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6269","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","BERYLLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6270","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","BERYLLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6271","15010004-1340","SANTA FE RESERVOIR ","FC","FC","BERYLLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6272","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","BORON","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6273","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","BORON","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6274","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","CADMIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6275","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","CADMIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6276","15010004-1340","SANTA FE RESERVOIR ","FC","FC","CADMIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6277","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","CHROMIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6278","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","COPPER","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6279","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","COPPER","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6280","15010004-1340","SANTA FE RESERVOIR ","AWCChronic","AWC","DISSOLVED OXYGEN (DO)","Dissolved","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6281","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","FLUORIDE","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6282","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","FLUORIDE","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6283","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","INORGANIC NITROGEN (NITRATE AND NITRITE)","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6284","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","LEAD","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6285","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","LEAD","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6286","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","MANGANESE","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6287","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","MANGANESE","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6288","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","MERCURY","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6289","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","MERCURY","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6290","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","NICKEL","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6291","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","NICKEL","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6292","15010004-1340","SANTA FE RESERVOIR ","FC","FC","NICKEL","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6293","15010004-1340","SANTA FE RESERVOIR ","AWCChronic","AWC","PH","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6294","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","PH","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6295","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","PH","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6296","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","SELENIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6297","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","SELENIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6298","15010004-1340","SANTA FE RESERVOIR ","FC","FC","SELENIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6299","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","SILVER","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6300","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","SILVER","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6301","15010004-1340","SANTA FE RESERVOIR ","FC","FC","SILVER","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6302","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","THALLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6303","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","THALLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6304","15010004-1340","SANTA FE RESERVOIR ","FC","FC","THALLIUM","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6305","15010004-1340","SANTA FE RESERVOIR ","DWS","DWS","ZINC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6306","15010004-1340","SANTA FE RESERVOIR ","FBC","FBC","ZINC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6307","15010004-1340","SANTA FE RESERVOIR ","FC","FC","ZINC","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6308","15010010-003","VIRGIN RIVER ","FBC","FBC",".ALPHA.-ENDOSULFAN","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6309","15010010-003","VIRGIN RIVER ","FC","FC",".ALPHA.-ENDOSULFAN","Total","Not enough information","Yes",1,0,1,"No","Current",1,2,1,NA,NA,NA
"6310","15010010-003","VIRGIN RIVER ","AGI","AGI","ARSENIC","Total","Meeting criteria","Yes",32,0,32,"No","Current",2,0,2,NA,NA,NA
"6311","15010010-003","VIRGIN RIVER ","AGL","AGL","ARSENIC","Total","Meeting criteria","Yes",32,0,32,"No","Current",2,0,2,NA,NA,NA
"6312","15010010-003","VIRGIN RIVER ","FBC","FBC","ARSENIC","Total","Meeting criteria","Yes",32,0,32,"No","Current",2,0,2,NA,NA,NA
"6313","15010010-003","VIRGIN RIVER ","FC","FC","ARSENIC","Total","Meeting criteria","Yes",32,0,32,"No","Current",2,0,2,NA,NA,NA
"6314","15010010-003","VIRGIN RIVER ","AGI","AGI","BORON","Total","Meeting criteria","Yes",31,1,32,"No","Current",2,0,2,NA,NA,NA
"6315","15010010-003","VIRGIN RIVER ","FBC","FBC","BORON","Total","Meeting criteria","Yes",32,0,32,"No","Current",2,0,2,NA,NA,NA
"6316","15010010-003","VIRGIN RIVER ","FBC","FBC","DIELDRIN","Total","Meeting criteria","Yes",22,0,22,"No","Current",2,0,2,NA,NA,NA
